article_id,link,article_content,news_source
1,https://www.foxnews.com/health/estimated-73-percent-us-immune-omicron-is-that-enough,,Fox
2,https://www.foxnews.com/us/fauci-says-unmasking-children-is-too-risky,,Fox
3,https://www.foxnews.com/health/who-reports-new-covid-19-cases-drop-by-19-globally,,Fox
4,https://www.foxnews.com/health/cdc-white-house-covid-pandemic-restrictions-loosened,,Fox
5,https://www.foxnews.com/us/fauci-requirement-additional-covid-booster-shots-monitored,,Fox
6,https://www.foxnews.com/politics/texas-sues-biden-admin-over-federal-mask-mandate-planes-airports,,Fox
7,https://www.foxnews.com/politics/republicans-mask-education-secretary-cardona-childrens-smiling-faces,,Fox
8,https://www.foxnews.com/health/cdc-director-mask-guidelines-update-will-come-soon,,Fox
9,https://www.foxnews.com/opinion/lawsuit-forced-masking-children-virginia,,Fox
10,https://www.foxnews.com/media/larry-elder-on-california-mask-mandate-the-whole-thing-is-a-joke,,Fox
11,https://www.foxnews.com/sports/kyrie-irving-no-guilt-remaining-unvaccinated,,Fox
12,https://www.foxnews.com/us/more-90-percent-americans-without-masks-cdc,,Fox
13,https://www.foxnews.com/media/desantis-masks-students-florida-two-tiered-society,,Fox
14,https://www.foxnews.com/opinion/biden-state-of-the-union-masks-cdc-nat-malkus,,Fox
15,https://www.foxnews.com/politics/rep-roy-demands-answers-cdc-vaccine-data-they-owe-us-damn-truth,,Fox
16,https://www.foxnews.com/us/truck-convoy-california-dc-covid,,Fox
17,https://www.foxnews.com/media/10-mask-media-moments-pandemic,,Fox
18,https://www.foxnews.com/media/maskless-jorge-ramos-spotlights-maskless-ukrainian-refugees-fleeing,,Fox
19,https://www.foxnews.com/health/cdc-no-longer-recommends-universal-contact-tracing-case-investigation,,Fox
20,https://www.foxnews.com/health/states-covid-mandates-cases-fall,,Fox
21,https://www.foxnews.com/health/why-are-covid-vaccination-rates-still-low-countries,,Fox
22,https://www.foxnews.com/media/time-magazine-keep-wearing-masks-planes,,Fox
23,https://www.foxnews.com/politics/rep-roy-demands-cdc-provide-data-covid-hospitalizations-americans-rightly-confused,,Fox
24,https://www.foxnews.com/politics/ron-johnson-cdc-false-statement-mask,,Fox
25,https://www.foxnews.com/media/critics-slam-snl-skit-that-mocks-masks-vaccines-and-the-cdc,,Fox
26,https://www.foxnews.com/politics/white-house-congress-mask-mandates-travelers,,Fox
27,https://www.foxnews.com/politics/iowa-gov-kim-reynolds-gop-response-biden-state-of-the-union,,Fox
28,https://www.foxnews.com/politics/state-of-the-union-congress-masks-cdc-changes-guidance,,Fox
29,https://www.foxnews.com/media/montage-biden-follow-science-masking,,Fox
30,https://www.foxnews.com/media/jen-psaki-white-house-mask-mandate-state-union-hemmer-perino,,Fox